"Mese";"Data";"Categoria";"Descrizione";"Importo";"Fissa";"Tricount";"Note"
"2026-06";"2026-06-23";"Necessita";"Te deteinato gab";"3,20";"No";"";""
"2026-06";"2026-06-23";"Necessita";"Macchinine GAB";"10,00";"No";"";""
"2026-06";"2026-06-23";"Necessita";"Tricount Io: Diesel";"20,00";"No";"IO";""
"2026-06";"2026-06-23";"Necessita";"Tricount Fra: Medicine gab bellaria";"32,00";"No";"FRA";""
"2026-06";"2026-06-23";"Necessita";"Tricount Io: Visita gab";"12,50";"No";"IO";""
"2026-06";"2026-06-22";"Necessita";"Tricount Io: Macchinine gab";"3,00";"No";"IO";""
"2026-06";"2026-06-22";"Necessita";"Gelato gab e acqua";"4,50";"No";"";""
"2026-06";"2026-06-22";"Necessita";"Acqua bottoglia";"2,20";"No";"";""
"2026-06";"2026-06-22";"Necessita";"Materassino mare";"15,00";"No";"";""
"2026-06";"2026-06-22";"Necessita";"Gelato chiosco spiaggia";"3,20";"No";"";""
"2026-06";"2026-06-22";"Necessita";"Telo mare";"10,00";"No";"";""
"2026-06";"2026-06-21";"Necessita";"Tricount Io: Autogrill";"15,75";"No";"IO";""
"2026-06";"2026-06-20";"Necessita";"Regalo fausto e libro Gab";"34,00";"No";"";""
"2026-06";"2026-06-19";"Svago";"Tricount Fra: 10 ingressi piscina";"30,00";"No";"FRA";""
"2026-06";"2026-06-19";"Svago";"Tricount Io: Cena asilo Gab";"20,50";"No";"IO";""
"2026-06";"2026-06-19";"Svago";"Colazione BAR";"3,00";"No";"";""
"2026-06";"2026-06-18";"Svago";"Scarpe Gab globo";"25,00";"No";"";""
"2026-06";"2026-06-18";"Necessita";"Coop";"8,63";"No";"";""
"2026-06";"2026-06-18";"Svago";"Tricount Io: Condizionatori Collegamento elettrcità";"19,00";"No";"IO";""
"2026-06";"2026-06-18";"Svago";"Coop fantasmini e colazione";"18,20";"No";"";""
"2026-06";"2026-06-17";"Necessita";"Tricount Fra: Spesa e aptamil";"20,00";"No";"FRA";""
"2026-06";"2026-06-17";"Necessita";"Tricount Fra: Vestiti Gab";"19,00";"No";"FRA";""
"2026-06";"2026-06-17";"Svago";"Tricount Fra: Risparmio casa e regalo Gab";"15,50";"No";"FRA";""
"2026-06";"2026-06-17";"Svago";"Tricount Fra: Acqua";"12,50";"No";"FRA";""
"2026-06";"2026-06-17";"Svago";"Tricount Fra: McDonald GAB";"5,00";"No";"FRA";""
"2026-06";"2026-06-17";"Svago";"Tricount Fra: Aperitivo";"12,00";"No";"FRA";""
"2026-06";"2026-06-17";"Necessita";"Tricount Io: Diesel";"10,00";"No";"IO";""
"2026-06";"2026-06-16";"Necessita";"Tricount Io: Pannolini risparmio casa";"2,00";"No";"IO";""
"2026-06";"2026-06-13";"Necessita";"Tricount Io: Coop";"49,31";"No";"IO";""
"2026-06";"2026-06-12";"Necessita";"Gel aloe";"17,80";"No";"";""
"2026-06";"2026-06-10";"Svago";"Tricount Io: Cena rione";"30,00";"No";"IO";""
"2026-06";"2026-06-10";"Necessita";"Tricount Fra: Spesa fra";"15,00";"No";"FRA";""
"2026-06";"2026-06-10";"Necessita";"Tricount Fra: Vestiti gab";"12,50";"No";"FRA";""
"2026-06";"2026-06-09";"Extra";"Condizionatori (meta con Fra)";"815,00";"No";"";""
"2026-06";"2026-06-09";"Extra";"Scarpe nuove Autry";"180,00";"No";"";""
"2026-06";"2026-06-09";"Svago";"BAR crema Colazione";"3,20";"No";"";""
"2026-06";"2026-06-09";"Svago";"BAR Winner colazione";"3,70";"No";"";""
"2026-06";"2026-06-08";"Necessita";"Tricount Fra: BOLLO Lancia Y";"81,00";"No";"FRA";""
"2026-06";"2026-06-08";"Necessita";"Tricount Fra: TARI Maggio";"114,50";"No";"FRA";""
"2026-06";"2026-06-07";"Necessita";"Tricount Io: Diesel 25.55";"12,78";"No";"IO";""
"2026-06";"2026-06-07";"Necessita";"Giostre gab";"5,00";"No";"";""
"2026-06";"2026-06-07";"Necessita";"Tricount Fra: Ovs per.gab";"15,50";"No";"FRA";""
"2026-06";"2026-06-07";"Svago";"Tricount Io: Cena cinese";"19,25";"No";"IO";""
"2026-06";"2026-06-06";"Svago";"Tshirt ovs";"15,00";"No";"";""
"2026-06";"2026-06-06";"Svago";"Tricount Io: Regalo gab stick";"5,00";"No";"IO";""
"2026-06";"2026-06-06";"Necessita";"Tricount Fra: Ciuccio bea";"4,50";"No";"FRA";""
"2026-06";"2026-06-06";"Necessita";"Tricount Fra: Spesa coop";"30,00";"No";"FRA";""
"2026-06";"2026-06-06";"Svago";"Tricount Io: Merenda gabriele canapè";"5,00";"No";"IO";""
"2026-06";"2026-06-04";"Necessita";"Tricount Io: Bolletta LUCE Octupus Maggio 83.09";"41,55";"No";"IO";""
"2026-06";"2026-06-02";"Necessita";"Tricount Io: Diesel";"15,00";"No";"IO";""
"2026-06";"2026-06-01";"Necessita";"Tricount Io: Coop bancomat 82.91";"40,95";"No";"IO";""
"2026-06";"2026-06-01";"Necessita";"Tricount Io: Coop ticket 56";"28,00";"No";"IO";""
"2026-06";"2026-06-01";"Svago";"Palestra foligno";"14,99";"No";"";""
"2026-06";"2026-06-01";"Svago";"Railway - Deploy progetto";"5,00";"Si";"";""
"2026-06";"2026-06-01";"Svago";"OpenAI";"20,87";"Si";"";""
"2026-06";"2026-06-01";"Svago";"Netflix";"14,00";"Si";"";""
"2026-06";"2026-06-01";"Svago";"Claude Code";"21,96";"Si";"";""
"2026-06";"2026-06-01";"Necessita";"Wind Internet";"30,96";"Si";"";""
"2026-06";"2026-06-01";"Necessita";"Wind3 - Commissioni";"2,00";"Si";"";""
"2026-06";"2026-06-01";"Necessita";"Tim Mobile";"20,00";"Si";"";""
"2026-06";"2026-06-01";"Necessita";"Pulizie Roberta (1/2)";"40,00";"Si";"";""
"2026-06";"2026-06-01";"Necessita";"Mutuo (1/2)";"342,00";"Si";"";""
"2026-06";"2026-06-01";"Necessita";"Google Drive";"2,99";"Si";"";""
"2026-06";"2026-06-01";"Necessita";"Asilo Retta Gab. (1/2)";"160,00";"Si";"";""
"2026-06";"2026-06-01";"Necessita";"Amazon Prime Abb.";"4,99";"Si";"";""
"2026-06";"2026-05-31";"Svago";"Creatina";"49,90";"No";"";""
"2026-06";"2026-05-31";"Necessita";"Tricount Io: Ciabatte per gan asilo";"6,00";"No";"IO";""
"2026-06";"2026-05-30";"Necessita";"Tricount Fra: Spesa coop";"45,00";"No";"FRA";""
"2026-06";"2026-05-30";"Necessita";"Tricount Fra: Latte solare e altre cose Bea";"20,50";"No";"FRA";""
"2026-06";"2026-05-30";"Svago";"Tricount Io: Cena taverna";"20,00";"No";"IO";""
"2026-06";"2026-05-28";"Svago";"Anticipo Regalo ZIO - Bilance";"45,00";"No";"";""
"2026-06";"2026-05-27";"Necessita";"Tricount Io: BATTERIA nuova fiat 500 X  170 euro";"85,00";"No";"IO";""
"2026-06";"2026-05-27";"Risparmi";"Risparmio spese extra Trade republic Bonifico fatto";"200,00";"No";"";""
"2026-06";"2026-05-27";"Necessita";"Tricount Io: Carro Attrezzi per Fiat500X  40 euro";"20,00";"No";"IO";""
"2026-06";"2026-05-27";"Necessita";"PROTEINE WHEY";"26,90";"No";"";""
"2026-06";"2026-05-27";"Necessita";"Tricount Fra: Metano";"7,50";"No";"FRA";""
"2026-05";"2026-05-26";"Necessita";"Scirippo tosse GrinTUSS";"16,30";"No";"";""
"2026-05";"2026-05-26";"Svago";"Colazione BAR";"3,20";"No";"";""
"2026-06";"2026-05-25";"Svago";"Tricount Io: Noleggio 16 euro per km in piu";"8,00";"No";"IO";""
"2026-06";"2026-05-25";"Svago";"Tricount Io: Noleggio Diesel 56.98 seat restiuzione";"28,49";"No";"IO";""
"2026-05";"2026-05-24";"Svago";"Tricount Io: Autostrada firenza";"3,40";"No";"IO";""
"2026-05";"2026-05-23";"Necessita";"Tricount Io: Pizzeria Firenze";"20,00";"No";"IO";""
"2026-06";"2026-05-23";"Svago";"Tricount Io: Noleggio auto Skycar  130 euro";"65,00";"No";"IO";""
"2026-05";"2026-05-23";"Svago";"Tricount Io: Autostrada firenze";"3,40";"No";"IO";""
"2026-05";"2026-05-23";"Necessita";"Tricount Io: Autogrill 23,20";"11,60";"No";"IO";""
"2026-05";"2026-05-22";"Svago";"Maglietta nuova bianca";"35,00";"No";"";""
"2026-05";"2026-05-22";"Svago";"Scarpe nuove";"99,00";"No";"";""
"2026-05";"2026-05-20";"Necessita";"Tricount Fra: Regalo sara 60";"30,00";"No";"FRA";""
"2026-05";"2026-05-20";"Necessita";"Tricount Fra: Spesa coop 46";"23,00";"No";"FRA";""
"2026-05";"2026-05-17";"Svago";"Cena la brace";"59,00";"No";"";""
"2026-05";"2026-05-17";"Svago";"Parcheggio centro foligno";"1,50";"No";"";""
"2026-05";"2026-05-17";"Svago";"Tricount Io: Pizza sabato sera";"11,00";"No";"IO";""
"2026-05";"2026-05-16";"Necessita";"Regalo rita";"25,00";"No";"";""
"2026-05";"2026-05-14";"Necessita";"Tricount Io: Coop 56 (ticket +53.75 bancomat";"54,88";"No";"IO";""
"2026-05";"2026-05-12";"Necessita";"Tricount Io: Coop (bancomat 23,57 +Ticket 56)";"39,78";"No";"IO";""
"2026-05";"2026-05-12";"Necessita";"Tricount Io: Bolletta GAS VUS - Ultima con la VUS - 301,74";"150,50";"No";"IO";""
"2026-05";"2026-05-10";"Necessita";"Tricount Io: Diesel";"12,50";"No";"IO";""
"2026-05";"2026-05-07";"Necessita";"Tricount Io: Coop 46.55";"23,27";"No";"IO";""
"2026-05";"2026-05-07";"Necessita";"Tricount Io: Coop ticket 56";"28,00";"No";"IO";""
"2026-05";"2026-05-05";"Necessita";"Tricount Io: Ocupus Commissioni";"1,00";"No";"IO";""
"2026-05";"2026-05-05";"Necessita";"Tricount Io: Bolletta Octupus GAS nuova 131,49 da SSD BPER";"65,75";"No";"IO";""
"2026-05";"2026-05-04";"Svago";"Tricount Io: Bar con GAB Fiamenga";"5,30";"No";"IO";""
"2026-05";"2026-05-04";"Necessita";"Tricount Fra: Gioco bea";"5,00";"No";"FRA";""
"2026-05";"2026-05-04";"Necessita";"Tricount Fra: Spesa";"35,00";"No";"FRA";""
"2026-05";"2026-05-02";"Necessita";"Tricount Io: COOP 43.03 + 8 ticket";"49,52";"No";"IO";""
"2026-05";"2026-05-01";"Svago";"Tshirt Boulivar";"34,80";"No";"";""
"2026-05";"2026-05-01";"Svago";"Parcheggio centro foligno";"2,00";"No";"";""
"2026-05";"2026-05-01";"Svago";"Gelato winner +caffè GAB";"6,00";"No";"";""
"2026-05";"2026-05-01";"Svago";"Railway - Deploy progetto";"5,00";"Si";"";""
"2026-05";"2026-05-01";"Svago";"OpenAI";"20,87";"Si";"";""
"2026-05";"2026-05-01";"Svago";"Netflix";"14,00";"Si";"";""
"2026-05";"2026-05-01";"Svago";"Claude Code";"21,96";"Si";"";""
"2026-05";"2026-05-01";"Necessita";"Wind Internet";"30,96";"Si";"";""
"2026-05";"2026-05-01";"Necessita";"Wind3 - Commissioni";"2,00";"Si";"";""
"2026-05";"2026-05-01";"Necessita";"Tim Mobile";"20,00";"Si";"";""
"2026-05";"2026-05-01";"Necessita";"Pulizie Roberta (1/2)";"40,00";"Si";"";""
"2026-05";"2026-05-01";"Necessita";"Mutuo (1/2)";"342,00";"Si";"";""
"2026-05";"2026-05-01";"Necessita";"Google Drive";"2,99";"Si";"";""
"2026-05";"2026-05-01";"Necessita";"Asilo Retta Gab. (1/2)";"160,00";"Si";"";""
"2026-05";"2026-05-01";"Necessita";"Amazon Prime Abb.";"4,99";"Si";"";""
"2026-05";"2026-04-30";"Necessita";"Tricount Io: Regalo luigi rotini e pane";"9,21";"No";"IO";""
"2026-05";"2026-04-30";"Necessita";"Tricount Io: Silicone pergola";"4,00";"No";"IO";""
"2026-05";"2026-04-29";"Necessita";"Tricount Io: Diesel";"12,54";"No";"IO";""
"2026-05";"2026-04-29";"Necessita";"Tricount Io: Coop";"15,17";"No";"IO";""
"2026-05";"2026-04-29";"Svago";"MAGLIETTE estive KING";"171,98";"No";"";""
"2026-05";"2026-04-29";"Necessita";"Tricount Io: Prelievo 20 euro per lavaggio auto";"10,00";"No";"IO";""
"2026-05";"2026-04-29";"Necessita";"Tricount Fra: Farmacia gab e bea";"13,50";"No";"FRA";""
"2026-05";"2026-04-29";"Necessita";"Tricount Fra: Coop fra";"20,00";"No";"FRA";""
"2026-05";"2026-04-27";"Svago";"Gettoni GAB - parco canapè";"5,00";"No";"";""
"2026-05";"2026-04-27";"Necessita";"JustFORMen Barba";"28,00";"No";"";""
"2026-05";"2026-04-27";"Risparmi";"Trade Repubblic - Extra e Vacanze - bonifico fatto 27/04";"200,00";"No";"";""
"2026-04";"2026-04-25";"Necessita";"Tricount Io: Mensole bricofer";"46,20";"No";"IO";""
"2026-04";"2026-04-25";"Necessita";"Tricount Io: Luna park GAB";"10,00";"No";"IO";""
"2026-04";"2026-04-25";"Necessita";"Parcheggio centro foligno";"3,00";"No";"";""
"2026-04";"2026-04-25";"Necessita";"Gelato GAB";"3,50";"No";"";""
"2026-04";"2026-04-25";"Svago";"Regalo GAB lego";"14,90";"No";"";""
"2026-04";"2026-04-23";"Necessita";"Tricount Fra: vestiti Bambini";"8,50";"No";"FRA";""
"2026-04";"2026-04-23";"Necessita";"Tricount Fra: FARMACIA GAB";"10,00";"No";"FRA";""
"2026-04";"2026-04-23";"Necessita";"Tricount Fra: Spesa Coop";"20,00";"No";"FRA";""
"2026-04";"2026-04-22";"Necessita";"Wind3 - Commissioni";"2,00";"No";"";""
"2026-04";"2026-04-21";"Necessita";"Tricount Io: Farmacia gab 17.57";"8,79";"No";"IO";""
"2026-04";"2026-04-21";"Necessita";"Tricount Io: Spesa coop ticket 7x8";"28,00";"No";"IO";""
"2026-04";"2026-04-21";"Necessita";"Tricount Io: Spesa coop 56.69";"28,34";"No";"IO";""
"2026-04";"2026-04-20";"Necessita";"Pranzo ospedale";"9,10";"No";"";""
"2026-04";"2026-04-20";"Svago";"Bar ospedale 2";"2,25";"No";"";""
"2026-04";"2026-04-20";"Necessita";"Bar ospedale";"4,70";"No";"";""
"2026-04";"2026-04-19";"Svago";"Tricount Fra: LEROY MERLYN ONLINE";"58,00";"No";"FRA";""
"2026-04";"2026-04-19";"Svago";"Caffè BAR";"1,20";"No";"";""
"2026-04";"2026-04-19";"Svago";"Tricount Io: Laboratorio Gabriele";"5,00";"No";"IO";""
"2026-04";"2026-04-19";"Necessita";"Tricount Io: Panini letoy merlin 13.50";"6,75";"No";"IO";""
"2026-04";"2026-04-19";"Necessita";"Tricount Io: Pizza";"6,50";"No";"IO";""
"2026-04";"2026-04-19";"Necessita";"Tricount Io: Leroy merlyn 73,87";"36,93";"No";"IO";""
"2026-04";"2026-04-19";"Necessita";"Tricount Io: Diesel 25.09";"12,54";"No";"IO";""
"2026-04";"2026-04-19";"Necessita";"Tricount Fra: Metano";"7,50";"No";"FRA";""
"2026-04";"2026-04-17";"Risparmi";"Risparmi Spese Extra Trade republic";"200,00";"No";"";""
"2026-04";"2026-04-16";"Necessita";"Tricount Fra: Spesa";"23,00";"No";"FRA";""
"2026-04";"2026-04-13";"Svago";"Tricount Fra: LAMPADINE per esterno";"10,00";"No";"FRA";""
"2026-04";"2026-04-13";"Necessita";"Tricount Io: Eurospin spesa 21.63";"10,81";"No";"IO";""
"2026-04";"2026-04-13";"Necessita";"Spesa mia COOP";"29,12";"No";"";""
"2026-04";"2026-04-12";"Svago";"Parcheggio foligno";"2,00";"No";"";""
"2026-04";"2026-04-12";"Svago";"DECATHLON - aggiunta regalo rita fausto";"6,26";"No";"";""
"2026-04";"2026-04-12";"Svago";"AMAZON - Proteine";"35,41";"No";"";""
"2026-04";"2026-04-12";"Svago";"Tricount Io: CINEMA gab";"6,75";"No";"IO";""
"2026-04";"2026-04-11";"Svago";"Tricount Io: CENA publito";"48,00";"No";"IO";""
"2026-04";"2026-04-09";"Necessita";"Tricount Fra: Spesa";"35,50";"No";"FRA";""
"2026-04";"2026-04-09";"Necessita";"Tricount Fra: GAB - Pomata anestesica";"7,00";"No";"FRA";""
"2026-04";"2026-04-09";"Svago";"Tricount Fra: Riparazione ANELLO";"22,50";"No";"FRA";""
"2026-04";"2026-04-08";"Necessita";"Tricount Io: Pizza cena 16.80";"8,40";"No";"IO";""
"2026-04";"2026-04-08";"Svago";"Tricount Io: REGALO - Gabriele dopo analisi 32,90";"16,45";"No";"IO";""
"2026-04";"2026-04-08";"Svago";"BAR - Colazione Ospedale";"2,55";"No";"";""
"2026-04";"2026-04-06";"Svago";"Tricount Fra: Mobile per sala Deghi";"185,00";"No";"FRA";""
"2026-04";"2026-04-06";"Svago";"Tricount Fra: Gioco pesca gabriele";"5,00";"No";"FRA";""
"2026-04";"2026-04-06";"Svago";"Tricount Io: Bar civitanova";"7,80";"No";"";""
"2026-04";"2026-04-04";"Necessita";"Tricount Io: Diesel 25.01";"12,55";"No";"IO";""
"2026-04";"2026-04-04";"Necessita";"Tricount Fra: Ciucci nuovi";"4,50";"No";"FRA";""
"2026-04";"2026-04-04";"Necessita";"Tricount Fra: Latte artificiale";"11,50";"No";"FRA";""
"2026-04";"2026-04-04";"Necessita";"Tricount Fra: Scaldabiberon";"4,50";"No";"FRA";""
"2026-04";"2026-04-04";"Necessita";"Tricount Fra: Spesa";"58,00";"No";"FRA";""
"2026-04";"2026-04-04";"Necessita";"Nurofen influenza";"11,50";"No";"";""
"2026-04";"2026-04-02";"Necessita";"Tricount Io: BOLLETTA VUS ACQUA 252.45 - Febbraio";"126,22";"No";"IO";""
"2026-04";"2026-04-01";"Svago";"BAR - Colazione centro";"3,50";"No";"";""
"2026-04";"2026-04-01";"Svago";"ABBONAMENTO - Railway - Deploy progetto";"5,00";"Si";"";""
"2026-04";"2026-04-01";"Svago";"ABBONAMENTO - OpenAI";"20,87";"Si";"";""
"2026-04";"2026-04-01";"Svago";"ABBONAMENTO - Netflix";"14,00";"Si";"";""
"2026-04";"2026-04-01";"Svago";"ABBONAMENTO - Claude Code";"21,96";"Si";"";""
"2026-04";"2026-04-01";"Necessita";"Wind Internet";"30,96";"Si";"";""
"2026-04";"2026-04-01";"Necessita";"Tim Mobile";"20,00";"Si";"";""
"2026-04";"2026-04-01";"Necessita";"Pulizie Roberta (1/2)";"30,00";"Si";"";""
"2026-04";"2026-04-01";"Necessita";"Mutuo (1/2)";"342,00";"Si";"";""
"2026-04";"2026-04-01";"Necessita";"ABBONAMENTO - Google Drive";"2,99";"Si";"";""
"2026-04";"2026-04-01";"Necessita";"Asilo Retta Gab. (1/2)";"169,00";"Si";"IO";""
"2026-04";"2026-04-01";"Necessita";"ABBONAMENTO - Amazon Prime Abb.";"4,99";"Si";"";""
"2026-04";"2026-03-29";"Necessita";"Tricount Fra: Siringhe detersivi";"3,50";"No";"FRA";""
"2026-04";"2026-03-29";"Necessita";"Tricount Fra: Metano";"8,50";"No";"FRA";""
"2026-04";"2026-03-29";"Necessita";"Tricount Fra: Tachipirina test streptococco";"10,50";"No";"FRA";""
"2026-04";"2026-03-29";"Necessita";"Tricount Fra: Spesa Fra eurospin";"34,50";"No";"FRA";""
"2026-04";"2026-03-29";"Necessita";"Tricount Fra: Regalo Nicolò gab";"8,50";"No";"FRA";""
"2026-04";"2026-03-28";"Svago";"GAB - Film ""Re leone"" Gabriele";"3,99";"No";"";""
"2026-03";"2026-03-27";"Svago";"GAB - pikachu gabriele regalo";"19,44";"No";"";""
"2026-03";"2026-03-27";"Risparmi";"Trade republic Fondo Extra e Vacanze";"200,00";"No";"";""
"2026-03";"2026-03-25";"Svago";"Colazione BAR centro";"3,00";"No";"";""
"2026-03";"2026-03-24";"Svago";"Colazione BAR centro";"3,00";"No";"";""
"2026-03";"2026-03-23";"Svago";"Tricount Fra: Ecocolordoppler beatrice";"46,00";"No";"FRA";""
"2026-03";"2026-03-23";"Svago";"Tricount Fra: Coop spesa";"35,00";"No";"FRA";""
"2026-03";"2026-03-23";"Svago";"Tricount Fra: Uovo pasqua gabriele";"7,00";"No";"FRA";""
"2026-03";"2026-03-23";"Svago";"Tricount Fra: Ecografia anche Betarice";"16,00";"No";"FRA";""
"2026-03";"2026-03-21";"Svago";"Caffe bar";"1,50";"No";"";""
"2026-03";"2026-03-21";"Necessita";"Parcheggio le.conce";"3,00";"No";"";""
"2026-03";"2026-03-20";"Svago";"Tricount Fra: Detersivi Sacchetti Cuscino";"16,50";"No";"FRA";""
"2026-03";"2026-03-20";"Svago";"Tricount Fra: Lavaggio Tappeto sala";"17,50";"No";"FRA";""
"2026-03";"2026-03-20";"Necessita";"colazione winner";"3,70";"No";"";""
"2026-03";"2026-03-20";"Necessita";"Tinta barba";"7,38";"No";"";""
"2026-03";"2026-03-18";"Svago";"Tricount Io: Tovagliette 27";"13,50";"No";"IO";""
"2026-03";"2026-03-16";"Svago";"Tricount Fra: METANO";"8,00";"No";"FRA";""
"2026-03";"2026-03-16";"Svago";"Tricount Fra: Libreria Sala";"44,00";"No";"FRA";""
"2026-03";"2026-03-16";"Svago";"Tricount Io: MC Donalds Gab 11.80";"5,90";"No";"IO";""
"2026-03";"2026-03-15";"Svago";"Tricount Io: Laboratorio gab";"5,00";"No";"IO";""
"2026-03";"2026-03-14";"Svago";"Tricount Io: Coop 61.64 + 7 ticket";"58,50";"No";"IO";""
"2026-03";"2026-03-13";"Necessita";"Tricount Io: prete benedizione casa";"5,00";"No";"IO";""
"2026-03";"2026-03-13";"Svago";"Tricount Fra: Spesa";"32,50";"No";"FRA";""
"2026-03";"2026-03-13";"Necessita";"Tricount Fra: Vitamine Bea";"9,00";"No";"FRA";""
"2026-03";"2026-03-13";"Necessita";"Tricount Fra: Detersivi";"6,00";"No";"FRA";""
"2026-03";"2026-03-10";"Necessita";"Tricount Io: VUS GAS gennaio 83,75";"41,88";"No";"IO";""
"2026-03";"2026-03-10";"Necessita";"Tricount Io: VUS GAS  398,34 euro";"199,00";"No";"IO";""
"2026-03";"2026-03-10";"Necessita";"Tricount Io: Ocutpus Luce - Marzo - 81,18";"40,59";"No";"IO";""
"2026-03";"2026-03-10";"Necessita";"Tricount Io: Octupus Luce 83,66";"41,83";"No";"IO";""
"2026-03";"2026-03-10";"Necessita";"Tricount Fra: Iscrizione NIDO - BabySchool - Beatrice";"125,00";"No";"FRA";""
"2026-03";"2026-03-10";"Necessita";"Tricount Fra: Tiralatte";"20,00";"No";"FRA";""
"2026-03";"2026-03-10";"Necessita";"Tricount Io: Antimuffa";"7,55";"No";"IO";""
"2026-03";"2026-03-09";"Necessita";"Tricount Io: Laboratorio maceratola Gab";"5,00";"No";"IO";""
"2026-03";"2026-03-08";"Svago";"Tricount Io: Pizza sera 26.50";"13,25";"No";"IO";""
